ID;item;TransactionType;weightedAverage;max;min;stddev;median;volume;orderCount;percentile
1;2268;buy;0.599581589;3.21;0.1;1.246187758;1.175;161636355;8;2.944043574
2;2268;sell;8.239354193;8.99;5.99;0.85680299;8.23;42812914;12;6.473317113
3;2305;buy;3.925859597;4.19;3.84;0.146799183;4.15;32364000;5;4.178377209
4;2305;sell;10.39352404;12.5;7.99;1.651818071;10.84;62118310;17;8.018798188
5;2267;buy;0.909613506;2;0.05;0.617180867;0.81;252383223;10;2
6;2267;sell;2.695373338;10;2.21;1.714630849;2.81;228547609;20;2.21
7;2288;buy;0.741336278;1.2;0.05;0.391532165;0.94;356727811;13;1.2
8;2288;sell;4.595902044;15;1.58;4.089675229;2.725;118156756;24;1.596557334
9;2287;buy;8.403368166;9.01;4.62;1.474357003;7.9;26434702;7;9.01
10;2287;sell;11.96091902;13.75;11.74;0.701984489;11.825;14898781;10;11.74556358
11;2307;buy;3.686003164;4.1;3.21;0.415772374;3.765;45188095;4;4.1
12;2307;sell;7.476599571;13.9;6.48;1.981369476;6.71;92260587;16;6.505865342
13;2272;buy;0.775664345;1.81;0.21;0.663375208;1.09;156834991;4;1.81
14;2272;sell;2.460031238;7772;2.16;1695.294653;2.54;181052133;21;2.17890405
15;2309;buy;2.46361396;2.58;1.79;0.340769437;2.35;129856980;7;2.58
16;2309;sell;4.90217668;10;3.7;1.996327879;4.91;105993826;9;4.594716666
17;2073;buy;1.337516791;1.87;1.1;0.307756861;1.72;133534685;8;1.85214112
18;2073;sell;10.72995514;350.9;4.97;129.8136869;6.95;84574912;7;4.97
19;2310;buy;1.073030663;2.4;0.21;0.689313265;1.72;171537272;9;2.4
20;2310;sell;6.633923854;225.4;3.38;41.95797926;9.42;356721695;27;3.382189076
21;2270;buy;1.597826762;3.3;0.61;0.846585656;2.49;76715201;11;3.197921202
22;2270;sell;7.174672404;14.99;4.28;3.062542393;5.22;46322511;12;4.795601514
23;2306;buy;3.317077474;3.78;1.67;0.669461566;3.295;54909023;12;3.748211943
24;2306;sell;6.93748505;6.97;6.93;0.015811388;6.95;8103215;5;6.93
25;2286;buy;3.67968466;4.35;2.05;0.935634811;4.045;17693339;8;4.279926749
26;2286;sell;15.06968374;20;14.92;1.782650014;14.965;9026367;8;14.92030753
27;2311;buy;1.027302523;4.78;0.27;2.072727671;3.975;121092126;4;4.78
28;2311;sell;8.326361846;10;7.7;0.723293708;7.97;86341701;12;7.704725506
29;2308;buy;1.986508409;2.03;1.91;0.051234754;1.995;4816784;4;2.019706593
30;2308;sell;3.365975911;360;2.9;77.73633752;3.1;187410949;21;2.9
31;2393;buy;553.3409351;784;1;247.0176052;612.6;1027114;12;781.0318231
32;2393;sell;1233.799575;4983;861.1;1002.925894;980;10398803;49;867.3680591
