"|","||","||__weightedAverage","||__max","||__min","||__stddev","||__median","||__volume","||__orderCount","||__percentile"
"2268","buy","0.599581588622","3.21","0.1","1.24618775815","1.175","161636355.0","8","2.94404357361"
"","sell","8.23935419299","8.99","5.99","0.856802989979","8.23","42812914.0","12","6.47331711315"
"2305","buy","3.92585959708","4.19","3.84","0.146799182559","4.15","32364000.0","5","4.17837720924"
"","sell","10.393524044","12.5","7.99","1.65181807145","10.84","62118310.0","17","8.01879818849"
"2267","buy","0.909613505847","2.0","0.05","0.617180866701","0.81","252383223.0","10","2.0"
"","sell","2.69537333768","10.0","2.21","1.71463084872","2.81","228547609.0","20","2.21"
"2288","buy","0.74133627804","1.2","0.05","0.391532164576","0.94","356727811.0","13","1.2"
"","sell","4.59590204372","15.0","1.58","4.08967522895","2.725","118156756.0","24","1.59655733439"
"2287","buy","8.40336816583","9.01","4.62","1.47435700271","7.9","26434702.0","7","9.01"
"","sell","11.9609190168","13.75","11.74","0.701984488591","11.825","14898781.0","10","11.7455635834"
"2307","buy","3.68600316411","4.1","3.21","0.415772373621","3.765","45188095.0","4","4.1"
"","sell","7.47659957084","13.9","6.48","1.98136947589","6.71","92260587.0","16","6.50586534183"
"2272","buy","0.775664344636","1.81","0.21","0.663375208059","1.09","156834991.0","4","1.81"
"","sell","2.46003123841","7772.0","2.16","1695.29465277","2.54","181052133.0","21","2.17890405047"
"2309","buy","2.46361395999","2.58","1.79","0.340769437485","2.35","129856980.0","7","2.58"
"","sell","4.90217667989","10.0","3.7","1.99632787888","4.91","105993826.0","9","4.59471666567"
"2073","buy","1.33751679146","1.87","1.1","0.30775686136","1.72","133534685.0","8","1.85214111974"
"","sell","10.7299551434","350.9","4.97","129.81368693","6.95","84574912.0","7","4.97"
"2310","buy","1.07303066298","2.4","0.21","0.689313265343","1.72","171537272.0","9","2.4"
"","sell","6.63392385375","225.4","3.38","41.9579792574","9.42","356721695.0","27","3.38218907558"
